GeneName,Trait,GeneSymbol
Zm00001d007672,RGBVI,LOC103649462
Zm00001d007686,ints,IDPCP97120
Zm00001d007688,ints/RGBR,-
Zm00001d007726,rn,-
Zm00001d007732,CIVE/GRVI/MGRVI/RGBVI/veg/ExGR/GLI/gn,-
Zm00001d007752,CIVE/GRVI/COM/GreenCoverage,-
Zm00001d007782,IKAW,-
Zm00001d007810,GRVI,IDP661
Zm00001d007818,GRVI,-
Zm00001d007862,NDI,pan2
Zm00001d007888,ExG,mab14
Zm00001d007900,rn,Zm00001eb117170
Zm00001d007902,MGRVI/veg/ExGR,Zm00001d007902
Zm00001d007903,MGRVI/ExGR/ExR/GLI,-
Zm00001d007953,RGBVI,-
Zm00001d007965,NDI,mkkk7
Zm00001d008025,rn,-
Zm00001d008138,rn,-
Zm00001d008177,GRVI,IDP7800
Zm00001d008248,gn,-
Zm00001d008256,IKAW,smk501
Zm00001d008269,CIVE/COM,-
Zm00001d008277,rn,LOC103634667
Zm00001d008360,rn,pco061640
Zm00001d008371,GreenCoverage,-
Zm00001d008376,RGBVI,nrh1
Zm00001d008398,NDI,-
Zm00001d008428,RGBR,GRMZM2G035341
Zm00001d008460,CIVE,Zm00001d008460
Zm00001d008467,rn,wakl42
Zm00001d008484,NDI,-
Zm00001d008488,COM,wakl46
Zm00001d008510,CIVE/COM,-
Zm00001d008538,GreenCoverage,-
Zm00001d008559,GLI2,crs2
Zm00001d008588,NDI,cl2990_1b
Zm00001d008631,GLI,-
Zm00001d008663,rn,-
Zm00001d008679,GRVI,LOC100280830
Zm00001d008715,CIVE,rlk3
Zm00001d008743,ints,ubp39
Zm00001d008744,RGBVI,B6TMW7
Zm00001d008771,GRVI,-
Zm00001d008814,MGRVI/veg/COM/ExR/GreenCoverage,aldh35
Zm00001d008863,MGRVI/veg/ExG/ExGR/GLI,pco134958
Zm00001d008913,CIVE/COM/GreenCoverage,ect10
Zm00001d008941,RGBVI,atx3
Zm00001d008954,ints,umc1802
Zm00001d008978,gn,-
Zm00001d009026,NDI,-
Zm00001d009090,NDI,myb95
Zm00001d009154,GRVI,-
Zm00001d009171,CIVE,LOC100274176
Zm00001d009182,IKAW,ech1
Zm00001d009220,IKAW,-
Zm00001d009337,GRVI,-
Zm00001d009351,GLI,-
Zm00001d009424,RGBR,si605013b05b
Zm00001d009454,RGBR,-
Zm00001d009474,gn,-
Zm00001d009571,ExGR,cl12262_1b
Zm00001d009591,RGBVI,umc1157
Zm00001d009618,ExG,wtf1
Zm00001d009649,RGBR,-
Zm00001d009657,ExG,-
Zm00001d009661,NDI,LOC100382356
Zm00001d009671,gn,-
Zm00001d009676,gn,pco092990b
Zm00001d009690,GLI2,-
Zm00001d009733,ExG,ppr433
Zm00001d009771,ints,osca3
Zm00001d009789,ExG,rte6
Zm00001d009824,NDI,-
Zm00001d009879,ExR/gn,IDP7885
Zm00001d009886,RGBVI,-
Zm00001d010029,GRVI,-
Zm00001d010034,ExG,ysl23
Zm00001d010040,GRVI,-
Zm00001d010043,ExG,cl14476_1b
Zm00001d010047,RGBR,mlkt2
Zm00001d010050,GRVI,-
Zm00001d010126,rn,-
Zm00001d010200,RGBR,-
Zm00001d010259,IKAW,csu620
Zm00001d010281,GRVI,-
Zm00001d010309,ints,sbp11
Zm00001d010321,rn,pdk2
Zm00001d010322,RGBR,mbd101
Zm00001d010324,GLI2,cl23765_1
Zm00001d010341,ints/RGBR,traf27
