GeneName,Trait,GeneSymbol
Zm00001d002615,12: ints; 65: RGB_R/ints,-
Zm00001d002617,101: rn; 65: GLI2/rn,GRMZM2G161913
Zm00001d002640,12: RGBVI,-
Zm00001d002669,15: RGB_R; 65: RGB_R/ints; 88: ints/RGB_R; 94: ints/RGB_R,nrg4
Zm00001d002675,115: GreenCoverage,-
Zm00001d002681,51: IKAW,-
Zm00001d002688,15: GreenCoverage,mkkk4
Zm00001d002703,37: IKAW,-
Zm00001d002704,80: IKAW,glpx3
Zm00001d002707,108: GreenCoverage; 115: GreenCoverage,Zm00001d002707
Zm00001d002715,10: COM/CIVE/gn/ExG/GLI,-
Zm00001d002725,94: ints,-
Zm00001d002727,101: CIVE/GreenCoverage/COM,alte2
Zm00001d002751,108: GreenCoverage; 17: CIVE/veg/GLI/gn/COM/ExG; 19: RGBVI/ExG/GLI/gn/veg; 24: RGB_R; 26: veg/NDI/ExG/ExR/gn/GRVI/MGRVI/GLI/ExGR/GLI2; 80: GLI2,IDP4867
Zm00001d002758,73: CIVE/COM/GreenCoverage; 80: veg/RGBVI/ExG/GLI/gn; 88: CIVE/COM/GreenCoverage,-
Zm00001d002759,101: CIVE/GreenCoverage/COM; 65: CIVE/COM/veg/RGBVI/ExG/ExGR/GLI/gn; 73: ExG/GLI/gn/RGBVI; 80: veg/RGBVI/ExG/GLI/gn; 88: CIVE/COM/GreenCoverage; 94: CIVE/COM/GreenCoverage,IDP7439
Zm00001d002769,10: ints; 108: IKAW/GLI2/rn; 14: RGBVI; 15: ints/RGBVI,-
Zm00001d002770,101: CIVE/ExG/GLI/gn/GreenCoverage/COM/RGBVI; 73: GreenCoverage,IDP7173
Zm00001d002791,12: gn/ExG/GLI/COM; 15: CIVE/gn/GLI/COM/ExG; 51: GreenCoverage; 73: CIVE/COM/GreenCoverage,LOC100282442
Zm00001d002801,101: GRVI/ExGR/ExR/NDI/MGRVI; 108: ExGR/MGRVI/GRVI/NDI; 115: CIVE/ExG/GLI/COM/RGBVI/gn/ExGR/veg,thx12
Zm00001d002806,44: rn/GLI2; 51: rn/ExGR/NDI/MGRVI/ExR/GLI2/GRVI; 73: CIVE/COM/GreenCoverage,dbb2
Zm00001d002814,15: IKAW; 37: rn; 51: CIVE/COM/GreenCoverage; 80: GreenCoverage,-
Zm00001d002816,115: GreenCoverage,LOC103646142
Zm00001d002817,115: GreenCoverage,IDP7189
Zm00001d002822,115: ExR/NDI/GLI2/GRVI/MGRVI/ExGR; 80: GreenCoverage,-
Zm00001d002824,88: CIVE/COM/GreenCoverage; 94: CIVE/COM/GreenCoverage,pco079297
Zm00001d002825,73: GreenCoverage; 88: GreenCoverage; 94: CIVE/COM/GreenCoverage,-
